x,y
1,1
2,1
4,2
6,1
8,1
9,1
10,1
11,1
13,1
14,2
16,1
17,2
18,1
20,1
21,3
22,1
23,4
24,2
25,1
26,3
27,1
28,3
29,2
30,2
31,3
32,2
33,2
34,1
35,3
36,3
37,4
38,1
39,2
40,2
41,1
42,5
43,5
44,4
46,3
47,3
48,1
49,1
50,4
51,6
52,3
53,5
54,1
55,3
56,5
57,5
58,7
59,1
60,3
61,3
62,4
63,1
64,4
65,3
66,3
67,3
68,3
69,2
70,3
71,2
72,3
73,2
74,3
75,5
76,3
77,5
78,3
79,4
80,2
81,4
82,4
83,6
84,2
85,6
86,4
87,2
88,3
89,3
90,7
91,1
92,5
93,11
94,7
95,4
96,8
97,4
98,5
99,4
100,7
101,6
102,6
103,5
104,2
106,4
107,4
108,4
109,1
110,3
111,6
112,4
113,1
114,3
115,7
116,5
117,3
118,2
119,7
120,2
121,3
122,7
123,6
124,5
125,4
126,6
127,2
128,14
129,1
130,4
131,3
132,5
133,6
134,6
135,4
136,3
137,5
138,7
139,6
140,5
141,3
142,1
143,10
144,7
145,5
146,1
147,3
148,11
149,5
150,2
151,5
152,2
153,4
154,3
155,6
156,4
157,4
158,8
159,6
160,6
161,4
162,4
163,5
164,6
165,4
166,8
167,3
168,4
169,2
171,4
172,8
173,4
174,1
175,9
176,2
177,4
178,3
179,4
180,4
181,4
182,4
183,6
184,10
185,2
186,1
187,3
188,5
189,2
191,5
192,7
193,4
194,3
195,2
196,4
197,3
198,7
199,1
200,2
201,2
202,4
203,8
204,6
205,4
206,5
207,6
208,9
209,3
210,4
211,4
212,1
213,1
214,4
215,5
216,1
217,5
218,5
219,5
220,4
221,7
222,5
223,4
224,2
225,5
226,3
227,9
228,7
229,1
230,3
231,1
232,4
233,5
234,4
235,7
236,3
237,3
238,8
239,5
240,5
241,3
242,4
243,2
244,4
245,3
246,6
247,3
248,4
249,3
250,4
251,5
252,5
253,5
254,1
255,5
256,2
257,3
258,6
259,4
260,3
261,7
262,5
263,9
264,2
265,9
266,5
267,1
268,4
269,3
270,1
271,7
272,6
273,6
274,7
275,1
276,7
277,6
278,2
279,7
280,2
281,4
282,4
283,6
284,2
285,4
286,5
287,4
288,6
289,3
290,1
291,7
292,6
293,8
294,6
295,2
296,5
297,5
298,1
299,1
300,6
301,4
302,7
303,6
304,3
305,5
306,6
307,4
308,1
309,1
310,11
311,4
312,2
313,5
314,4
315,6
316,3
317,5
318,8
319,2
320,6
321,3
322,4
323,6
324,4
325,3
326,16
327,3
328,4
329,3
330,9
331,7
332,3
333,5
334,8
335,1
336,7
337,4
338,2
339,3
340,2
341,3
342,5
343,4
344,4
345,2
346,5
347,3
348,5
349,6
350,5
351,4
352,4
353,2
354,3
355,5
356,6
357,9
359,6
360,6
361,3
362,5
363,5
364,5
365,4
366,5
368,5
369,4
370,5
371,2
372,8
373,6
375,2
376,6
377,3
378,1
379,1
380,6
381,4
382,3
383,7
384,7
385,7
386,1
387,3
388,7
389,2
390,7
391,8
392,2
393,5
394,1
395,2
396,5
397,3
398,7
399,4
400,3
401,3
402,5
403,3
404,2
405,1
406,1
407,3
408,1
409,2
410,3
411,4
412,4
413,8
414,1
415,6
416,4
417,3
418,3
420,4
421,4
422,3
423,7
424,2
425,8
426,8
427,1
428,3
429,4
430,2
431,6
432,2
433,5
434,1
435,3
436,1
438,3
439,3
440,2
441,4
442,4
443,6
444,5
445,5
446,3
447,3
448,2
449,2
450,4
451,4
452,1
453,1
454,4
455,1
456,1
457,6
458,1
459,3
460,8
461,3
462,4
463,2
464,3
465,1
466,2
467,3
468,3
470,4
471,2
472,5
473,4
474,3
475,2
476,3
479,2
480,2
481,3
482,1
483,6
484,2
485,1
486,1
488,3
489,2
490,2
491,2
492,3
493,1
494,4
496,1
497,3
498,2
500,2
501,2
502,4
503,1
504,1
505,1
506,2
507,2
508,1
509,1
510,6
511,1
513,5
514,6
515,2
516,1
517,2
518,4
519,1
520,2
521,2
522,5
523,4
524,1
525,1
526,2
527,1
528,3
529,2
530,1
531,3
532,2
533,1
534,1
535,1
536,1
537,1
538,3
539,4
540,2
542,1
543,4
544,1
545,1
546,5
547,4
548,1
549,2
551,2
552,1
553,2
554,1
555,1
556,1
558,2
559,1
561,1
563,2
565,2
566,1
567,1
568,1
569,1
574,1
576,2
579,2
580,1
581,1
582,1
583,4
584,2
585,1
586,2
587,1
588,3
589,1
591,1
592,1
593,2
594,1
595,1
596,2
602,1
604,2
606,2
607,1
609,2
615,2
617,2
622,1
624,1
625,2
626,1
627,3
629,1
630,1
631,1
633,1
634,1
636,1
637,1
639,2
651,1
659,1
662,1
672,1
681,1
685,1
699,1
711,1
732,1
738,2
742,1
756,1
758,1
