x,y
1,1
2,1
3,2
4,3
5,4
6,4
7,2
8,4
9,1
10,2
11,1
13,3
14,1
15,3
16,2
17,3
18,1
21,4
22,1
23,2
24,1
25,1
27,1
28,2
30,3
31,2
32,2
33,1
35,1
37,2
38,2
41,1
43,2
44,2
48,1
51,1
52,1
53,2
54,1
55,2
56,1
57,1
59,2
61,1
62,1
63,2
64,2
65,1
66,1
67,1
69,2
71,2
73,1
74,2
77,1
79,3
81,1
83,2
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,3
92,2
93,1
94,2
96,1
99,1
101,1
103,1
105,1
107,2
110,2
114,2
115,1
121,1
122,1
125,1
128,1
129,1
130,2
131,2
132,2
134,1
135,1
136,1
140,1
143,1
146,1
147,1
148,1
149,1
153,2
154,1
157,1
159,1
160,1
162,1
165,1
167,1
169,1
173,2
179,1
182,1
189,1
195,2
206,1
208,1
210,1
212,1
213,1
216,1
221,1
222,1
223,1
225,2
237,1
238,1
239,1
241,1
245,1
250,1
251,1
256,2
262,1
266,1
267,1
268,2
274,1
275,1
281,1
285,1
290,1
291,1
295,1
296,1
300,1
301,1
304,1
307,1
309,1
311,1
314,2
319,1
320,1
322,1
326,1
329,1
332,1
335,1
336,1
340,1
341,1
347,1
348,1
353,1
366,1
370,1
384,1
395,1
425,1
426,1
429,1
430,1
434,1
460,1
465,1
466,2
468,1
479,1
486,1
492,1
494,1
508,1
509,1
523,1
527,1
535,1
555,1
561,1
562,1
576,1
