case,numNodes,numMacros,numPins,numNets,total_area,macro_area,macro_ratio,avg_degree,max_degree,top10_ratio,macro_net_ratio,density
ibm01,12752,246,50566,14111,4231654.00,2262576.00,0.534679,3.5834,42,0.007278,0.138757, 0.8003
ibm02,19601,271,81199,19584,8463091.00,5852048.00,0.691479,4.1462,134,0.012168,0.078789, 0.8003
ibm03,23136,290,93573,27401,9846635.00,6149776.00,0.624556,3.4149,55,0.004211,0.084085, 0.8001
ibm04,27507,295,105859,31970,9297247.00,4879008.00,0.524780,3.3112,46,0.004166,0.079043, 0.8003
ibm05,29347,0,126308,28446,4472721.00,0.00,0.000000,4.4403,17,0.001346,0.000000, 0.8003
ibm06,32498,178,128182,34826,8526246.00,4838864.00,0.567526,3.6806,35,0.001997,0.033911, 0.8001
ibm07,45926,291,175639,48117,11831727.00,5315120.00,0.449226,3.6502,25,0.001292,0.047239, 0.8001
ibm08,51309,301,204890,50513,13451438.00,6928304.00,0.515060,4.0562,75,0.003412,0.070239, 0.8000
ibm09,53395,253,222088,60902,17529229.00,8725520.00,0.497770,3.6466,39,0.001513,0.041312, 0.8000
ibm10,69429,786,297567,75196,47543352.00,35453968.00,0.745719,3.9572,41,0.001193,0.119661, 0.8001
ibm11,70558,373,280786,81454,21239238.00,9993488.00,0.470520,3.4472,24,0.000780,0.039752, 0.8000
ibm12,71076,651,317760,77240,36980285.00,23876224.00,0.645647,4.1139,28,0.000780,0.096284, 0.8001
ibm13,84199,424,357075,99666,25067210.00,11338592.00,0.452328,3.5827,24,0.000625,0.038178, 0.8002
ibm14,147605,614,546816,152772,28731237.00,7056704.00,0.245611,3.5793,33,0.000556,0.047712, 0.8001
ibm15,161570,393,715823,186608,36538607.00,12216144.00,0.334335,3.8360,36,0.000472,0.021751, 0.8000
ibm16,183484,458,778823,190048,52591016.00,24908240.00,0.473622,4.0980,40,0.000467,0.041416, 0.8001
ibm17,185495,760,860036,189581,42194183.00,9074624.00,0.215068,4.5365,36,0.000393,0.030246, 0.8001
ibm18,210613,285,819697,201920,33688208.00,3661344.00,0.108683,4.0595,66,0.000709,0.008493, 0.8001
